Employee_Key,Name,Phone_Number,Fax_Number,Email,Address,Salary,Dealership_Manager,Position_Type,City,State,Region,Country
86445.0,CaseyTeague,(404) 815-0463,(404) 815-0463,,29 Peachtree Pl Nw,65500,1.0,SALESREP,San Francisco,California,West,United States
86415.0,AlfredFadel,(310) 552-3400,(310) 552-3400,falfred@univ.edu,2029 Century Park E,81900,1.0,MANAGER,San Francisco,California,West,United States
86420.0,AlexDavid,(323) 464-5505,(323) 464-5505,dalex@geocities.com,5640 Franklin Ave,67100,2.0,SALESREP,San Diego,California,West,United States
86474.0,MavisBradley,(770) 998-7461,(770) 998-7461,bmavis@yahoo.com,8601 Roberts Dr,66650,2.0,SALESREP,San Diego,California,West,United States
86498.0,Henry LAndel,(404) 255-4700,(404) 255-4700,,4785 Merlendale Ct Nw,67100,2.0,SALESREP,San Diego,California,West,United States
86414.0,AngeloAccardo,(209) 826-5752,(209) 826-5752,aangelo@compuserve.com,1242 Center Ln,80200,3.0,MANAGER,Seattle,Washington,West,United States
86416.0,Antonio OVela,(323) 263-6087,(323) 263-6087,,3335 Garnet St,66100,3.0,SALESREP,Seattle,Washington,West,United States
86463.0,KennethGibson,(404) 792-8233,(404) 792-8233,gkenneth@hotmail.com,189 Anderson Ave Nw,63950,4.0,SALESREP,Scottsdale,Arizona,West,United States
86466.0,NickGibietis,(770) 396-6396,(770) 396-6396,gnick@univ.edu,1004 Marsh Trail Cir Ne,61950,4.0,SALESREP,Scottsdale,Arizona,West,United States
86409.0,JosephJames,(323) 231-5681,(323) 231-5681,jjoseph@mailcity.com,221 W 41st,66100,4.0,SALESREP,Scottsdale,Arizona,West,United States
86433.0,HaroldKing,(805) 528-3030,(805) 528-3030,kharold@xyz.org,630 Mar Vista Dr,86200,11.0,MANAGER,Dallas,Texas,Central,United States
86464.0,K WGibson,(404) 559-1493,(404) 559-1493,,2312 Surrey Trl,65950,11.0,SALESREP,Dallas,Texas,Central,United States
86435.0,William LSummer,(310) 472-8191,(310) 472-8191,swilliaml@xyz.org,166 S Rockingham Ave,84200,12.0,MANAGER,Houston,Texas,Central,United States
86438.0,LarryWilbourn,(323) 586-0724,(323) 586-0724,,1014 E 73d,89200,13.0,MANAGER,Austin,Texas,Central,United States
86484.0,A RPearce,(310) 474-1314,(310) 474-1314,par@compuserve.com,10501 Wilshire Blvd,67100,13.0,SALESREP,Austin,Texas,Central,United States
86401.0,Harold FKing,(650) 948-5382,(650) 948-5382,kharoldf@compuserve.com,25640 Moody Rd,61200,13.0,SALESREP,Austin,Texas,Central,United States
86442.0,KirakosyanNuretsa,(323) 664-5243,(323) 664-5243,nkirakosyan@yahoo.com,1428 N Normandie Ave,61300,14.0,SALESREP,Chicago,Illinois,Central,United States
86451.0,Thomas AAcantilado,(323) 936-5458,(323) 936-5458,,2034 S Genesee Ave,91200,14.0,MANAGER,Chicago,Illinois,Central,United States
86456.0,Melvin MBradley,(404) 766-6145,(404) 766-6145,,4070 Morning Trl,49600,14.0,SALESREP,Chicago,Illinois,Central,United States
86480.0,AlipioKing,(310) 216-2982,(310) 216-2982,kalipio@geocities.com,7160 W 85th St Apt 1,48100,14.0,SALESREP,Chicago,Illinois,Central,United States
86429.0,JulianAcebedo,(213) 380-7627,(213) 380-7627,,735 S Saint Andrews Pl,38100,15.0,SALESREP,Minneapolis,Minnesota,Central,United States
86455.0,MichaelBradley,(404) 755-8098,(404) 755-8098,bmichael@hotmail.com,56 Cobb St,87200,15.0,MANAGER,Minneapolis,Minnesota,Central,United States
86444.0,LaurencioZabala,(213) 484-8515,(213) 484-8515,zlaurencio@hotmail.com,1638 Mohawk St,68100,15.0,SALESREP,Minneapolis,Minnesota,Central,United States
86489.0,Roderick WTeachey,(404) 872-0732,(404) 872-0732,,878 Peachtree St Ne,65950,16.0,SALESREP,Ann Arbour,Michigan,Central,United States
86460.0,HollyAnderson,(404) 350-0927,(404) 350-0927,aholly@xyz.org,1095 Seaboard Ave Nw,84100,17.0,MANAGER,Houston,Texas,Central,United States
86467.0,Kiam LGiang,(404) 767-9753,(404) 767-9753,,470 King Arnold St,65950,17.0,SALESREP,Houston,Texas,Central,United States
86487.0,C TTeague,(404) 577-5766,(404) 577-5766,tct@hotmail.com,1067 Alta Ave Ne,64950,17.0,SALESREP,Houston,Texas,Central,United States
86492.0,Jeff GZeanah,(770) 992-7730,(770) 992-7730,zjeffg@hotmail.com,9430 Huntcliff Trce,63950,17.0,SALESREP,Houston,Texas,Central,United States
86425.0,AldenPearce,(310) 476-4449,(310) 476-4449,palden@yahoo.com,11745 Montana Ave,72200,18.0,SALESREP,Detroit,Michigan,Central,United States
86462.0,Kenneth AAnderberg,(404) 231-9005,(404) 231-9005,akennetha@univ.edu,77 E Andrews Dr Nw,83800,18.0,MANAGER,Detroit,Michigan,Central,United States
86488.0,ChadTeague,(404) 869-1787,(404) 869-1787,tchad@mailcity.com,649 Timm Valley Rd Ne,62950,18.0,SALESREP,Detroit,Michigan,Central,United States
86410.0,Jeffery MRenlie,(323) 658-8564,(323) 658-8564,rjefferym@hotmail.com,408 N Spaulding Ave,64100,18.0,SALESREP,Detroit,Michigan,Central,United States
86413.0,Daniel TSummers,(323) 755-2201,(323) 755-2201,sdanielt@compuserve.com,2042 W 99th St,78900,18.0,SALESREP,Detroit,Michigan,Central,United States
86437.0,AlejandroMendez,(323) 233-0062,(323) 233-0062,,228 W 49th St,58100,19.0,SALESREP,New York,New York,East,United States
86468.0,S HGiancola,(404) 529-7187,(404) 529-7187,gsh@mailcity.com,675 W Peachtree St Ne,81900,19.0,MANAGER,New York,New York,East,United States
